Short Frame	_ws.short
Charging ASE	chargingase
Cisco HDLC	chdlc
Common Image Generator Interface	cigi
Computer Interface to Message Distribution	cimd
Cimetrics MS/TP	cimetrics
Common Industrial Protocol	cip
CIP Class Generic	cipcls
CIP Connection Manager	cipcm
CIP PCCC Object	cippccc
CIP Modbus Object	cipmb
CIP Connection Configuration Object	cipcco
Common Industrial Protocol, Motion	cipm
Common Industrial Protocol, Motion - Rev 3	cipm3
Common Industrial Protocol, Safety	cipsafety
Common Industrial Protocol, Safety - Base - Data	cipsafety_bd
Common Industrial Protocol, Safety - Extended - Data	cipsafety_ed
Common Industrial Protocol, Safety - Base - Time Coordination	cipsafety_bt
Common Industrial Protocol, Safety - Extended - Time Coordination	cipsafety_et
CIP Safety Supervisor	cipssupervisor
CIP Safety Validator	cipsvalidator
CableLabs Layer 3 Protocol	cl3
CableLabs Dual-Channel Wi-Fi	cl3dcw
Simple Traversal of UDP Through NAT	classicstun
Clearcase NFS	clearcase
Classical IP frame	clip
Clique Reliable Multicast Protocol	clique-rm
ISO 8473/X.233 CLNP ConnectionLess Network Protocol	clnp
ISO 9548-1 OSI Connectionless Session Protocol	clsp
ISO 8602/X.234 CLTP ConnectionLess Transport Protocol	cltp
Cisco MetaData	cmd
X711 CMIP	cmip
Certificate Management Protocol	cmp
China Mobile Point to Point Protocol	cmpp
Cryptographic Message Syntax	cms
Component Network over IP	cnip
Constrained Application Protocol	coap
collectd network data	collectd
Community ID Flow Hashing	communityid
PPP Compressed Datagram	comp_data
Component Status Protocol	componentstatusprotocol
DCE/RPC Conversation Manager	conv
Common Open Policy Service	cops
Totemnet Layer of Corosync Cluster Engine	corosync_totemnet
Totem Single Ring Protocol implemented in Corosync Cluster Engine	corosync_totemsrp
CBOR Object Signing and Encryption	cose
COSE Parameter Subdissectors	cose_params
CoSine IPNOS L2 debug output	cosine
ISO 8073/X.224 COTP Connection-Oriented Transport Protocol	cotp
Couchbase Protocol	couchbase
CP2179 Protocol	cp2179
Cross Point Frame Injector	cpfi
Check Point High Availability Protocol	cpha
DNS Control Program Server	cprpc_server
Cassandra CQL Protocol	cql
Credential Security Support Provider	credssp
Certificate Request Message Format	crmf
CSM_ENCAPS	csm_encaps
CSN.1	csn1
Cluster TDB	ctdb
Common Unix Printing System (CUPS) Browsing Protocol	cups
CVS pserver	cvspserver
Cisco Wireless IDS Captures	cwids
Digital Audio Access Protocol	daap
X.519 Directory Access Protocol	dap
Data	data
Daytime Protocol	daytime
Dropbox LAN sync Protocol	db-lsp
Dropbox LAN sync Discovery Protocol	db-lsp-disc
D-Bus	dbus
Distributed Checksum Clearinghouse protocol	dcc
Datagram Congestion Control Protocol	dccp
DCE/RPC UpServer	dce_update
Distributed Computing Environment / Remote Procedure Call (DCE/RPC)	dcerpc
IWBEMLEVEL1LOGIN (pidl)	IWbemLevel1Login
Microsoft AT-Scheduler Service	atsvc
DCE DFS Basic Overseer Server	bossvr
RPC Browser	rpc_browser
Failover Cluster Management API (clusapi)	clusapi
DNS Server	dnsserver
Active Directory Replication	drsuapi
Active Directory Setup	dssetup
EFS (pidl)	efs
Event Logger	eventlog
Microsoft File Replication Service API	frsapi
File Replication Service	frsrpc
File Replication Service DFS-R	frstrans
File Server Remote VSS Protocol	fsrvp
Init shutdown service	initshutdown
IRemoteWinspool SubSystem	iremotewinspool
Local Security Authority	lsarpc
MAPI	mapi
Spotlight metadata search service	mdssvc
Microsoft Messenger Service	messenger
MISC (pidl)	misc
Settings for Microsoft Distributed File System	netdfs
Microsoft Network Logon	rpc_netlogon
Exchange 5.5 Name Service Provider	nspi
Microsoft Plug and Play service	pnp
Exchange 2003 Directory Request For Response	rfr
Microsoft Routing and Remote Access Service	rras
RS Interface properties	rs_plcy
SAMR (pidl)	samr
Microsoft Spool Subsystem	spoolss
Server Service	srvsvc
Service Control	svcctl
Microsoft Telephony API Service	tapi
Microsoft Task Scheduler Service	taskschedulerservice
Microsoft Distributed Link Tracking Server Service	trksvr
Remote Registry Service	winreg
SMB Witness Service	witness
Workstation Service	wkssvc
Wireless Configuration Service	wzcsvc
DICOM	dicom
DCOM	dcom
DCOM IDispatch	dispatch
DCOM IProvideClassInfo	provideclassinfo
DCOM ITypeInfo	typeinfo
ETSI Distribution & Communication Protocol (for DRM)	dcp-etsi
DCP Application Framing Layer	dcp-af
DCP Protection, Fragmentation & Transport Layer	dcp-pft
DCP Tag Packet Layer	dcp-tpl
Dynamic DNS Tools Protocol	ddtp
DEC Spanning Tree Protocol	dec_stp
DEC DNA Routing Protocol	dec_dna
DECT Protocol	dect
DECT DLC (LAPC)	dect_dlc
Aastra/Mitel DECT-over-Ethernet	dect_mitel_eth
Mitel RFP/OMM TCP communication protocol	dect_mitel_rfp
DECT NWK	dect_nwk
DeviceNet Protocol	devicenet
Dynamic Host Configuration Protocol	dhcp
DHCP Failover	dhcpfo
DHCPv6	dhcpv6
DHCPv6 Bulk Leasequery	dhcpv6.bulk_leasequery
DHCPv6 Cablelabs	dhcpv6_cablelabs
Diameter Protocol	diameter
Diameter 3GPP	diameter.3gpp
Distributed Interactive Simulation	dis
Discard Protocol	discard
X.519 Directory Information Shadowing Protocol	disp
Distcc Distributed Compiler	distcc
DJI UAV Drone Control Protocol	djiuav
Dynamic Link Exchange Protocol	dlep
DLEP Data Item Dissector	dlep.dataitem
Distributed Lock Manager	dlm3
Data Link SWitching	dlsw
Diagnostic Log and Trace (DLT)	dlt
Shortened Diagnostic Log and Trace (DLT) Storage Header	dlt.storage
Direct Message Profile	dmp
DMX	dmx
DMX Channels	dmx_chan
DMX SIP	dmx_sip
DMX Test Frame	dmx_test
DMX Text Frame	dmx_text
Distributed Network Protocol 3.0	dnp3
Domain Name System	dns
Multicast Domain Name System	mdns
Link-local Multicast Name Resolution	llmnr
Microsoft Delivery Optimization	msdo
Digital Object Identifier Resolution Protocol	do-irp
DOCSIS	docsis
DOCSIS MAC Management	docsis_mgmt
DOCSIS Synchronisation Message	docsis_sync
DOCSIS Upstream Channel Descriptor	docsis_ucd
DOCSIS Upstream Bandwidth Allocation - version 1	docsis_map
DOCSIS Upstream Bandwidth Allocation - version 5	docsis_map
DOCSIS Range Request Message	docsis_rngreq
DOCSIS Ranging Response	docsis_rngrsp
DOCSIS Registration Requests	docsis_regreq
DOCSIS Registration Responses	docsis_regrsp
DOCSIS Upstream Channel Change Request	docsis_uccreq
DOCSIS Upstream Channel Change Response	docsis_uccrsp
DOCSIS Baseline Privacy Key Management Request	docsis_bpkm.req
DOCSIS Baseline Privacy Key Management Response	docsis_bpkm.rsp
DOCSIS Registration Acknowledge	docsis_regack
DOCSIS Dynamic Service Addition Request	docsis_dsareq
DOCSIS Dynamic Service Addition Response	docsis_dsarsp
DOCSIS Dynamic Service Addition Acknowledge	docsis_dsaack
DOCSIS Dynamic Service Change Request	docsis_dscreq
DOCSIS Dynamic Service Change Response	docsis_dscrsp
DOCSIS Dynamic Service Change Acknowledge	docsis_dscack
DOCSIS Dynamic Service Delete Request	docsis_dsdreq
DOCSIS Dynamic Service Delete Response	docsis_dsdrsp
DOCSIS Downstream Channel Change Request	docsis_dccreq
DOCSIS Downstream Channel Change Response	docsis_dccrsp
DOCSIS Downstream Channel Change Acknowledge	docsis_dccack
DOCSIS Upstream Channel Descriptor Type 29	docsis_type29ucd
DOCSIS Initial Ranging Message	docsis_intrngreq
DOCSIS Downstream Channel Descriptor	docsis_dcd
DOCSIS MAC Domain Description	docsis_mdd
DOCSIS Bonded Initial Ranging Message	docsis_bintrngreq
DOCSIS Upstream Channel Descriptor Type 35	docsis_type35ucd
DOCSIS Dynamic Bonding Change Request	docsis_dbcreq
DOCSIS Dynamic Bonding Change Response	docsis_dbcrsp
DOCSIS Dynamic Bonding Change Acknowledge	docsis_dbcack
DOCSIS Path Verify Request	docsis_dpv.req
DOCSIS Path Verify Response	docsis_dpv.rsp
DOCSIS CM-STATUS Report	docsis_cmstatus
DOCSIS Status Report Acknowledge	docsis_cmstatusack
DOCSIS CM Control Request	docsis_cmctrl.req
DOCSIS CM Control Response	docsis_cmctrlrsp
DOCSIS Registration Request Multipart	docsis_regreqmp
DOCSIS Registration Response Multipart	docsis_regrspmp
DOCSIS Energy Management Request	docsis_emreq
DOCSIS Energy Management Response	docsis_emrsp
DOCSIS OFDM Channel Descriptor	docsis_ocd
DOCSIS Downstream Profile Descriptor	docsis_dpd
DOCSIS Upstream Channel Descriptor Type 51	docsis_type51ucd
OFDM Downstream Profile Test Request	docsis_optreq
OFDM Downstream Profile Test Response	docsis_optrsp
OFDM Downstream Profile Test Acknowledge	docsis_optack
DOCSIS Resource Block Assignment Message	docsis_rba
DOCSIS Extended Range Request Message	docsis_ext_rngreq
DOCSIS Appendix C TLVs	docsis_tlv
DOCSIS Vendor Specific Encodings	docsis_vsif
DOF Tunnel Protocol Stack	dtps
DOF Protocol Stack	dof
DOF Protocol Stack TCP	dof-tcp
DOF Protocol Stack UDP	dof-udp
DOF Object Identifier	dof.oid
DOF Network Protocol	dof.dnp
DOF Network Protocol V0	dof.dnp.v0
DOF Network Protocol V1	dof.dnp.v1
DOF Presentation Protocol	dof.dpp
DOF Presentation Protocol V0	dof.dpp.v0
DOF Presentation Protocol V2	dof.dpp.v2
DOF Presentation Protocol V2 Support	dof.dpp.v2s
DOF Application Protocol	dof.app
DOF Session Protocol	dof.esp
DOF CCM Security Mode App	dof.ccm.app
DOF CCM Security Mode of Operation	dof.ccm
DOF CCM Security Mode DSP Options	dof.ccm.dsp
DOF Object Access Protocol	dof.oap
DOF Object Access Protocol DSP Options	dof.oap.dsp
DOF Secure Group Management Protocol	dof.sgmp
DOF Ticket Exchange Protocol Version 1	dof.tep1
DOF Ticket Exchange Protocol DSP Options	dof.tep1.dsp
DOF Ticket Request Protocol	dof.trp
DOF Ticket Request Protocol DSP Options	dof.trp.dsp
DoIP (ISO13400) Protocol	doip
X.501 Directory Operational Binding Management Protocol	dop
DisplayPort AUX-Channel	dpaux
DPAUXMON DisplayPort AUX channel monitor	dpauxmon
DirectPlay Protocol	dplay
DirectPlay 8 protocol	dpnet
Digital Private Signalling System No 1	dpnss
Digital Private Signalling System No 1 Link Layer	dpnss_link
Distributed Ruby	drb
DRBD Protocol	drbd
DRDA	drda
UAVCAN DSDL	uavcan_dsdl
Data Stream Interface	dsi
MPEG DSM-CC	mpeg_dsmcc
X.519 Directory System Protocol	dsp
Dynamic Source Routing	dsr
Digital Transmission Content Protection over IP	dtcp-ip
Datagram Transport Layer Security	dtls
Dynamic Trunk Protocol	dtp
DeskTop PassThrough Protocol	dtpt
DCE Distributed Time Service Provider	dtsprovider
DCE Distributed Time Service Local Server	dtsstime_req
DPNSS/DASS2-User Adaptation Layer	dua
DVB Application Information Table	dvb_ait
DVB Bouquet Association Table	dvb_bat
DVB-DATA MultiProtocol Encapsulation	dvb_data_mpe
DVB Event Information Table	dvb_eit
ETSI IPDC Bootstrap	dvb_ipdc
DVB Network Information Table	dvb_nit
DVB-S2 Mode Adaptation Header	dvb-s2_modeadapt
DVB-S2 Baseband Frame	dvb-s2_bb
DVB-S2 GSE Packet	dvb-s2_gse
DVB-S2 Signalization Table	dvb-s2_table
DVB Service Description Table	dvb_sdt
DVB Selection Information Table	dvb_sit
DVB Time and Date Table	dvb_tdt
DVB Time Offset Table	dvb_tot
DVB Common Interface	dvb-ci
Distance Vector Multicast Routing Protocol	dvmrp
Data Exchange Layer	dxl
E100 Encapsulation	e100
ITU-T E.164 number	e164
E1 Application Protocol	e1ap
ITU-T E.212 number	e212
E2 Application Protocol	e2ap
Extensible Authentication Protocol	eap
802.1X Authentication	eapol
EBHSCR Protocol	ebhscr
Echo	echo
ECMP	ecmp
Edge Control Protocol	ecp21
ECP Protocol	ecp
evolved Common Public Radio Interface	ecpri
eDonkey Protocol	edonkey
Extreme Discovery Protocol	edp
EERO Protocol	eero
Ethernet Global Data	egd
Ericsson HDLC	ehdlc
EHS	ehs
Enhanced Interior Gateway Routing Protocol	eigrp
ETV-AM EISS Section	eiss
Elasticsearch	elasticsearch
ELCOM Communication Protocol	elcom
Executable and Linkable Format	elf
Ethernet Local Management Interface	elmi
OpenBSD Encapsulating device	enc
EtherNet/IP (Industrial Protocol)	enip
Common Industrial Protocol, I/O	cipio
Common Industrial Protocol, I/O Class 1	cipio1
Device Level Ring	dlr
Endpoint Handlespace Redundancy Protocol	enrp
ENTTEC	enttec
Enhanced Order Book Interface 10.0	eobi
Ethernet POWERLINK	epl
ETHERNET Powerlink V1.0	epl_v1
DCE/RPC Endpoint Mapper	epm
DCE/RPC Endpoint Mapper v4	epm4
Erlang Port Mapper Daemon	epmd
IEEE 802.3 EPON Preamble	epon
Extensible Record Format	erf
Erlang Distribution Protocol	erldp
Encapsulated Remote Switch Packet ANalysis	erspan
CISCO ERSPAN3 Marker Packet	erspan-marker
SAIA Ether-S-I/O protocol	esio
ISO 9542 ESIS Routeing Information Exchange Protocol	esis
Extended Security Services	ess
802.1BR E-Tag	etag
Apache Etch Protocol	etch
Ethernet	eth
Ethernet over IP	etherip
Ethertype	ethertype
Enhanced Trading Interface 10.0	eti
ETV-AM DII Section	etv-dii
ETV-AM DDB Section	etv-ddb
Event Tracing for Windows	etw
Enhanced Variable Rate Codec	evrc
Enhanced Variable Rate Codec B	evrcb
Enhanced Variable Rate Codec - Wideband	evrcwb
Enhanced Variable Rate Codec - Narrowband-Wideband	evrcnw
Enhanced Variable Rate Codec - Narrowband-Wideband plus 2kpbs	evrcnw2k
Enhanced Variable Rate Codec (Legacy Encapsulation)	evrc_legacy
Enhanced Voice Services	evs
Exablaze trailer	exablaze
Remote Process Execution	exec
EXtreme extra Eth Header	exeh
EXPORTED_PDU	exported_pdu
Extreme Mesh	extrememesh
Extreme Mesh Control Header	extrememesh_mch
Extreme Mesh L2 Update	extrememesh_l2upd
Extreme Mesh Probe Message	extrememesh_probe
Extreme Mesh Path Selection Authorization Request	extrememesh_ps_areq
Extreme Mesh Path Selection Authorization Reply	extrememesh_ps_arep
Extreme Mesh Path Selection Bind Request	extrememesh_ps_breq
